NIF;clave;nomape;dirección;latitud;longitud
05040449R;wfKopYJYg4Dg;Marietta Yoakley;893 Sage Parkway;39,123895;-8,122456
07832518R;Kb0XZXbx;Maryjo Gissop;9525 Crest Line Pass;37,968407;-0,658904
97841605I;qzTCkoZa;Selie Paireman;2 Blaine Place;41,866156;-8,922561
70907676J;QywzgUMK4;Helena Streeter;85 Valley Edge Terrace;36,115557;2,725740
88603227C;Xk9c7XVj64M;Lilah Dearan;8438 Stang Park;42,247973;-2,637757
62538656M;3FY4Ai;Waylen Dugdale;314 Ruskin Point;41,073043;-8,432977
14813804B;5cwzDRBf8A;Kiele Simonson;7422 Jenna Junction;42,502890;-5,941514
25893814U;R6svFTgMZEa8;Tiffy Dauber;1030 Melby Circle;37,112865;0,614866
12833868J;aZ5bYLu7Ej39;Hammad Cottle;402 Burning Wood Crossing;37,180973;-5,806653
18721293N;QTaCGzxwnE;Keriann Camelli;824 Comanche Trail;38,070485;-6,463430
91896627E;GfjztAx;Janella L' Estrange;3928 Pawling Alley;36,452715;-5,226194
79784484W;kOMsVAFAse;Any Weston;33 Bonner Street;41,328933;-1,110147
46341054V;KjR4bWq;Randell Shillum;8 Kim Plaza;35,898616;0,983784
05849062S;XLcEzLo;Ephrem Stanmore;5758 Hanover Crossing;37,783462;-7,276494
48752282T;sNuJUdgvz;Anderson Pergens;78 Sunbrook Alley;43,007235;-3,078631
37680002X;nNWj0wNK;Lisbeth Lauga;80 Waubesa Alley;40,635029;-5,856652
73546191X;a7UBYSUa;Jud Josefson;5 Bayside Street;38,868770;-6,222398
12858236C;X9v5i7JJbZfE;Kylie Vittore;0 Becker Junction;42,923142;-0,889331
52908298B;3cNPaOXXV4OX;Courtnay Malatalant;3714 Corscot Circle;36,799850;-2,034269
83279776S;3pIxdjmv644;Tabitha Lake;9998 Pond Circle;42,449859;-3,255995
38719316N;oImhgRu;Harvey Jencey;88413 Mcbride Parkway;42,451654;3,052185
28944063I;p1h6h4CqHD5u;Shandee Pillinger;42799 Twin Pines Pass;42,515476;-6,799941
44831769C;LttuoTKAV8;Raddy Deschelle;5428 Mifflin Street;40,697545;-8,755844
03642489B;kwgt13TJ0mJ;Lezlie Bianco;80 Superior Street;40,179855;-8,431094
44858040C;3AGt83pqA;Petunia Bolletti;30226 Maryland Crossing;37,103815;-2,308416
33055092Z;UxpX3WTz0;Maddy Dennes;279 Dawn Way;43,223051;-8,995753
10996212A;rnVjyaGnk;Rowe Bottjer;3 Manufacturers Parkway;36,383630;-8,518117
23857748L;iwzVQ27qD6pH;Trix Bleasdille;71 Hooker Alley;38,539728;-1,719436
09798721C;7jYvj8hcog34;Bethina McCrudden;5792 1st Road;39,465201;-8,077419
63952594J;wiJON6Ao4L;Hetti Meneely;473 Lakewood Gardens Point;42,380862;-8,972018
00250106L;vyI7fXjz;Westbrook Brazear;3269 Northwestern Crossing;40,303694;-6,091183
93626377J;wq6rh7oxmi;Fawn Coupe;728 Lindbergh Pass;37,497529;-2,273031
56350870S;emhLvobEjW2;Bell Burriss;72 Sage Place;40,316914;-1,821907
00919540Q;QacZTKnT3;Amye Letts;681 Raven Circle;39,985460;-1,694319
81800667F;7gY4w9;Nola Meah;3731 Barby Place;42,725269;-6,232108
33277099J;4RQAaI;Jess Barefoot;41592 Onsgard Court;35,976899;-3,561707
62051129V;CtoNlfyfIcvd;Josefa Eannetta;204 Summit Trail;41,102969;-8,083105
31825795N;oC8abV;Amabelle Chooter;9974 Spaight Parkway;40,598235;-2,766893
22473738S;d1MLT2xrBLT;Obie Kirsop;769 Karstens Terrace;42,782499;-4,758005
64893216S;SBQcsFPqy;Esma Bierman;8 Nancy Street;36,829146;2,076906
14041008S;TPKyO00Lc;Theodora Baigent;45 Northport Circle;42,487361;-5,214243
65701319N;yK2z3Z5GPhR6;Simonne Mitton;48042 Buell Drive;42,414322;-0,801316
96705297R;w9sMJOsJx;Persis Denniss;791 Hoepker Plaza;36,496384;-7,808933
85258224P;UALQzPmz;Christabel Poyner;96 Mosinee Parkway;36,439422;-0,253484
00615015K;MHZ91Ue;Carolyn Seeley;0 Ridgeway Alley;42,838777;-3,599316
15723164Q;6oG8BANOZO;Neal Diviney;9894 Eagan Parkway;42,226325;-7,194625
13692347X;TRPBL24s9zdI;Kenon Saggs;2 Muir Junction;38,808314;-5,875113
18962914S;nQD8iFm;Hendrik Dogerty;05209 Del Mar Plaza;36,028522;-2,907493
76362282M;sLciInEWrShX;Taryn Canto;98 Erie Parkway;39,728265;3,201199
46789661D;mgTMLaQUdN0;Orelle Jerzak;4 Farragut Circle;42,424541;-8,251217
36246528F;2dLVpFn;Etti de Guise;1 Glacier Hill Road;37,353318;-1,813436
60186918Y;rnswF1r7;Clemmie Ive;741 Oxford Court;39,498263;-4,194135
86745432U;nPM9KYNsLY1;Meredith Pawelczyk;8953 Pond Junction;36,783347;-8,841833
03395542L;fm3wu0cBgtj;Kiah Brockelsby;15618 Dexter Parkway;40,620555;1,864166
51230321G;YsPcZ7JR;Brooks Dysert;7 Granby Street;36,779143;-0,593171
62987609M;fjvO34Vd;Werner Heatley;447 Stephen Terrace;41,552659;1,410169
23202533S;koAEwNqcT;Sid Garfit;716 Blackbird Terrace;37,874111;-5,714730
32301038D;I2QGDvBWs;Almire Vowdon;06 North Junction;36,178233;-4,321350
92973166M;OSQTX7sEF;Francesco Lillecrap;017 Barby Trail;43,195250;-3,492045
03732130U;LVUjYI;Marillin Sabban;53 Oriole Junction;41,304755;-1,995756
08182724I;2XleUgPYYd1;Godwin Adamo;278 Shasta Avenue;42,084520;-0,994759
20572874Q;btQmP1Zrna;Gay Wormald;64464 Dakota Avenue;37,942224;-1,499642
75487484H;yeDuCeBafDtI;Palmer Wallace;2 Burning Wood Plaza;40,163343;-8,655593
31259052V;Q2ccrDZrqc6;Faythe Cammiemile;5 Badeau Pass;36,958963;-6,438237
22848909F;VJCXrNm9CK3;Faye Zealey;6 Village Green Alley;39,960797;-4,393226
39816375W;c8X8dsds;Roberta Libby;520 Mayfield Alley;37,086134;-8,589535
56378287C;wZ19npg;Bambi Twopenny;06 Shasta Street;39,118787;-4,237165
03517494M;BdO2di8idFL;Lora Hughlock;41 Cody Junction;40,482045;-6,599829
75198746Q;0dpSl7ptU2u;Freeland Planque;3 Arizona Lane;43,006397;1,241839
15129520L;tFMADev;Kathy Stidson;3966 Harper Center;36,764923;-7,403835
92144055Z;RQ09uz38cmV;Regine Phillpotts;2 Division Street;37,142301;0,021110
73383239D;EJIrXlg6;Ursola Philler;2 Anthes Trail;41,929760;1,142027
40464844K;YgaRnyvioO;Eugene Benfield;8777 Sheridan Place;39,520935;-2,383750
47705041G;Z2QefiGMn;Cassandry Abramchik;278 David Park;39,538327;-9,000460
97439566R;CjjXlR7N;Karon Joesbury;5230 Crowley Center;42,739701;-1,834356
26206310G;B4QjesK;Carri Shovelin;7 Cherokee Plaza;40,110753;-1,045858
23513284A;OAo61EG3hR;Benn Beslier;36 Warner Lane;38,366622;-6,650107
09281633N;HRjk4mi;Barclay Tarling;577 Union Way;36,107503;-0,452704
59322037B;aFrJZP;Georgy Clubb;62 Summer Ridge Plaza;35,878405;-6,884330
03421094B;CVuepYa8aqf;Jabez Bearham;5882 Starling Center;35,925373;0,109423
33985487L;BOkSWSMDXNT9;Eden Challender;5 Kenwood Center;38,210716;-2,795569
92738713S;N1k26q8mjUs;Joan Wortman;28 Birchwood Terrace;40,758746;-3,890612
79686199Y;43BKiXFhI5op;Jeramey Gobeau;11 Parkside Plaza;41,454757;-4,762885
63129207H;b2apxEgOfhQb;Rosana Karby;139 Meadow Vale Point;42,105604;-6,185435
62816910S;uGpZlyRhA;Sheena Helian;990 Elka Circle;43,091680;-7,130944
21575424C;zbYeGYq;Milka Blakden;64798 Milwaukee Point;43,003363;0,616875
02404944J;chvxNaAA;Theodor Bortol;999 Emmet Junction;38,013830;-6,341434
00294168V;VIcegjK7;Rori Archanbault;28 Fairview Lane;39,023145;-5,365673
63043451E;RfbMecHLPZm;Daphne Finby;0 Orin Center;39,625987;-3,422417
77763999N;HzmxXu;Jeramey Lintott;55 Milwaukee Drive;43,015063;-0,016761
65198485R;Jl6kEE7qRRru;Meyer Bewley;59052 Everett Court;40,135852;-4,271451
33530852U;AcWfg5fNP2kT;Ardelia Anstiss;80551 Lakeland Pass;37,686270;-2,379074
21669572E;41LLrxypaB6;Merrill Pleager;8 Golf View Terrace;38,186978;-6,828011
42168834Z;dLs1qgFy2PA;Sylvester Radnedge;4 Thierer Pass;36,650684;0,650507
08569747B;ZskeN7c;Audrye Schutte;2904 East Parkway;42,981592;-5,419177
65909477D;e8ZH60CaohzY;Lexy Joreau;511 Merrick Hill;42,571988;-5,024508
83550006S;ne98PIh;Bird Tomalin;95875 Doe Crossing Parkway;37,823824;1,397115
84565551U;VA3iswe1hHV;Sarita Goligly;72 Hollow Ridge Avenue;39,887206;2,021008
83932487X;RxCo0sLjJQPF;Evie Keigher;22954 Weeping Birch Place;37,796824;-8,402094
76772377G;MrbUnGcGEExR;Garwin Powers;63947 Reindahl Trail;42,084792;-0,251280
95764732K;InfRMmHqD;Daphene Curtis;03467 Fair Oaks Avenue;43,174824;-5,018559
93319978Z;iml4x5WuleO;Rachele Broy;93 Lotheville Trail;36,977168;1,084698
68681402Y;N0PBmyQxDHW;Rutter Verry;0 Lyons Plaza;42,393014;2,799746
77941357N;Rz88CdVBc7;Heinrik McGraith;9468 Talmadge Road;37,780749;0,114225
58757113E;yaGSrz6;Koo Coughlin;6 Gale Junction;41,285436;-0,651149
07559431H;3L0e40;Jasun Tarr;0424 Goodland Center;42,143376;-8,985696
04377232C;Q8Vrncnf;Yancy Londsdale;4 Bunker Hill Lane;40,627405;-6,120072
95449945D;3RwvKIe;Jonell McCloy;1073 Stone Corner Point;36,469029;-3,097598
70270980I;veUIih4;Ag Marcos;2 Namekagon Trail;40,662466;-3,656716
24242105C;DNvYhmaVM6s0;Erin Pacitti;5 Warbler Crossing;36,907538;-5,021991
32502676I;jpvQuBgv8;Ealasaid Trenam;970 Westend Lane;37,830961;-6,895428
58743115V;4SAMKcOhM;Perri Trotter;0 Little Fleur Center;42,252423;-8,575555
51110261L;ZbaJXLAX6;Lyda Palle;6673 Marquette Avenue;39,738968;0,758596
08942156Q;T4pGtrZhblX;Jill Swalwel;1013 Warner Street;43,235600;-8,787496
34153115V;XgCYMK;Vidovik Turney;0 Bultman Drive;41,032435;-5,948324
70452283V;xg804XF;Carlen Plester;5 Granby Pass;42,980870;-5,342264
31933644L;3Otm3hVuGKc2;Nicoli Jardein;57206 Bartillon Point;38,191072;-2,440662
13414024Z;hQVOUizL0;Lisha Clemenson;16 Arapahoe Circle;39,045543;2,899581
40290998I;QIkWhnC;Morey Ransome;5 Norway Maple Hill;41,312965;-8,420942
18342945O;BSZWJIlmA;Talbert Guyer;168 Reindahl Circle;39,289284;-6,117531
40900506W;WABahHSPIgC;Fernande Franceschelli;24 Troy Crossing;36,049693;-3,144642
67270165B;i2EKCSoQ0WzH;Dorie Birwhistle;66832 Vernon Plaza;39,215818;1,708451
08306470H;8fD8TQNLhBQO;Ree Mulvin;7 Roth Crossing;40,444731;-4,707901
74462940D;kza5g3r7Cfsg;Herrick Aphale;051 Center Terrace;40,331836;-8,211872
71967460X;2SmbVvU;Lorrayne McVity;601 Harper Hill;41,466893;2,245355
99545752B;BdP7BqeV;Madelyn Wilbud;7218 Florence Junction;37,530390;-7,280023
20688213R;NSqdUhJo;Toby O'Noulane;83 Hermina Trail;39,907981;-6,514426
65022057U;icKd5j;Aylmar Fullagar;6029 Rowland Pass;41,054634;-2,364139
28827208O;oWELHWfpPd;Quintin Rootham;10129 Carberry Plaza;43,189638;-7,362748
87917464F;2edNukDOBx;Batsheva Larmor;183 Kipling Pass;40,117120;-1,344784
38995859V;xihs3MQr9;Amalle Roback;753 Novick Lane;38,143212;-5,650177
26571927B;7i2Nnm40xs4;Rudyard Baignard;4797 Independence Plaza;42,139508;-8,677629
41987437E;TZ5uhY;Alie Whittenbury;739 Riverside Plaza;38,962594;-4,320419
40979213I;SxrX95;Kristina Mitroshinov;52 North Park;37,649048;-9,063789
85363451H;FHeePm8cMoz;Perkin Kittless;17 Grayhawk Street;39,307758;-1,870268
19824553F;gPo23IWd78L;Peg Lorimer;84 Red Cloud Road;42,285920;-2,662398
90742725X;JDhlneCm;Corie Sopp;120 Melby Circle;42,583401;-4,945724
71224531R;pcHupEG;Erena Follos;4 Lindbergh Street;39,470804;-5,964287
95645359H;Oat6ctIGMjMe;Regan Cowdry;0 Di Loreto Parkway;41,625140;-4,364237
89722718K;e2FEXZo;Sidonnie Luten;13932 Burrows Way;38,040885;-5,613617
66144629M;nCirNrVNYT;Amy Tarquinio;32 Shelley Plaza;38,624572;-5,385096
94179202P;sncVBi2TKUKo;Cecelia Sjollema;155 Shasta Trail;42,842526;2,560694
24216835Y;iB6LKQPo;Mollie Hutt;1 Claremont Terrace;41,925766;-8,805867
25454102P;hT2AoN5d;Muriel Bissell;66556 Veith Road;38,612348;-7,709443
79070806M;X0bReu;Briano Voss;867 Bay Court;40,850669;0,455354
66450839C;tXUFErgf4dw;Christos Bullock;89 Burning Wood Plaza;41,947228;-5,969848
59922178W;M5eQQbM;Joshua Kivelhan;3 Main Junction;42,983611;1,036757
00372531J;zfLJyFyknAi;Marquita Lefeaver;14 Blackbird Terrace;38,294451;-4,336457
76256270Q;QyZdynJmDeb3;Juan Jenno;48762 Stephen Court;41,885288;-0,956849
61823820S;ThLgDcaE8C;Melanie Cashley;37930 Debra Center;42,435435;-3,019669
46840694W;OLISEAk;Camellia Tomaino;13 Valley Edge Avenue;37,292095;-6,172953
57536464Z;YiR7DYdB;Gisella Gentile;6416 Debra Pass;39,115079;-8,650366
95387156X;f9GA5O;Annabelle Hutton;3868 Grasskamp Plaza;36,079317;0,134267
87359282S;M0Eaf3d;Olive Saphir;7 Maple Wood Hill;41,725973;1,379942
86511909W;uz6XKxa4e;Heath Exell;8724 Veith Park;39,058710;-5,715174
03872361O;KJmbqoX7N2q;Emory Castard;212 Lerdahl Center;40,411294;-0,691771
56057847C;TfO69oFVo;Gerek Base;426 Arizona Way;40,155519;2,866580
10296010F;q1Kyn5;Miles Setchell;0955 Stoughton Alley;40,824692;-8,823205
37892518T;NuctmuuaB;Cointon Gidney;7763 Del Mar Circle;38,073654;-3,581800
23544979N;lEUajyWnLdD;Georgie Sibery;1750 2nd Parkway;39,800705;-8,809357
01820924Y;DMd5BZk8QS;Lorain Gland;601 Fair Oaks Terrace;38,056126;-2,303758
99825127F;VdKRgFo0If;Felizio Corroyer;66842 Donald Point;36,770246;-7,312162
31191144Z;xXKqfBFp2P;Gaston Lobb;63610 Melrose Drive;39,813470;1,498662
15352592P;DNA0qHSV7oz;Karalynn Bellis;92579 Union Road;40,022805;-1,191251
97016405M;HqWtd94y;Shirlee Geldert;01 Hoepker Way;37,499805;-5,583669
98705893C;KlXHq7Hh;Andrew Childe;9188 Chinook Terrace;42,952409;-1,985480
36203688G;x73OEc;Had Birrane;7752 Lawn Point;39,512147;-3,201303
56222435F;1bLtgIyuyVKV;Waldo Yeo;260 Anzinger Point;43,162920;-2,993947
46147328E;qnKegRD;Nap Roser;870 Delaware Drive;42,467163;-5,702177
54297429D;a9o74hSN;Rosalie Gamon;21 Spenser Drive;38,269694;2,496564
77534436N;l7WEI6dznOs;Gwen Winspurr;912 Golf View Parkway;39,011810;-4,396077
76691520R;tgKfTqdaDb5;Cordelie Bromige;43681 Valley Edge Road;37,842596;2,416276
46694850V;22ojV1xlc04;Lotty Hurdiss;68610 Southridge Drive;36,539708;-9,234733
34333827E;o0QlT9;Georas Knibb;33872 Northfield Circle;36,798827;-3,448557
86205637X;rsKgE13hisk;Leola Brugemann;202 Reinke Hill;39,300380;-1,533535
57719664Q;nnvmYl6GE;Abbey Bolden;30 Blaine Parkway;38,657465;-8,545350
25153990L;LoqZbtiff;Theodora Mattevi;56920 Trailsway Center;36,836238;-1,736183
35296632S;Eqlro2UQqu;Brandise Medendorp;2 Forest Run Road;41,922294;-6,042369
75005285C;cHLmzhskCZ;Giavani Sheber;95 East Lane;39,779927;2,489775
62809791I;3qtStAZWBhn;Patience Pitkeathley;70 Bluejay Court;39,019377;-2,589621
74599771S;Xr1UiReY4yOu;Marlene Rosedale;7248 Burning Wood Court;43,133735;-0,894229
35744655D;UEoaL07kd;Leontine Gosnold;3 Michigan Point;43,257179;-6,567282
88359573A;AA0ZrQzizx;Stirling Dudlestone;799 Golden Leaf Place;40,128476;0,228220
27105711V;rtwMcZCEV0;Hilario Micah;29 School Place;36,671786;-3,736304
07217002R;DyZzt0UF;Fredi Krause;867 Lillian Park;41,904701;2,577504
59103287X;fHmkCqH;Alaric Ducker;57 Pond Place;38,823752;-0,488129
52381448Z;mFpzMRx;Gregorius Bronger;030 Comanche Park;42,469669;0,818634
60519509X;BHwFccRh;Layne Jefferson;4413 Dottie Park;41,177540;-2,400249
10023813D;OWjOVfv7id;Elicia Lindgren;1 Forest Center;41,691595;-0,634480
66138189U;VjYgTTYbx;Felicio MacClay;276 6th Way;37,117819;-6,700446
77085894D;3Kq8vWlDU;Issi Hancke;1867 Kim Terrace;38,603261;-3,907445
12927358P;r9On0WNFx;Feodor Cochrane;07 Comanche Center;41,188422;-5,809825
46363999M;5dnK5D60td9;Pail Kohnen;4730 Birchwood Parkway;36,618992;-0,695674
18209972O;8uYswSe73S5K;Janis Muddiman;1 Bluestem Way;40,041592;-2,065447
52424313B;9SNAjp76;Leonanie Graybeal;3 Dexter Alley;42,966257;-1,540649
43029787L;OQOZnD54;Shelton Brisker;57 Paget Circle;37,068255;-8,009664
77832514K;SBAuxTgUU;Phaidra Sancias;57662 Crowley Terrace;41,110729;-7,991358
77704288Q;3wjn9OvHe;Gilda Gerald;29480 Carioca Point;39,125509;-2,500983
44002462N;qvSGen7oE;Joshuah Diehn;18 Warbler Terrace;41,276651;-8,307645
22105391F;1BQjhBeTS;Neda Muldrew;90 Southridge Center;38,910522;-6,139848
22731255B;ZEI5rKMn;Griffy Edginton;4003 Mosinee Center;37,063786;-0,441942
06441527X;hBojpGxxk;Neille Lafayette;193 Shelley Junction;37,105527;-1,389803
76669808T;M0FfGzQxl;Aretha Fosdike;71 Kingsford Circle;37,737096;3,024810
29165886S;yunTXftNuoi;Marsha Corsor;37567 Elmside Park;42,940842;1,801461
98347464A;YmDD2jFmkYa;Aurelea Scougal;799 Dawn Avenue;39,501563;-8,263557
08664037S;Szit7tHTduuo;Amabel Casari;08490 Charing Cross Avenue;42,113395;-0,296230
49277189F;HiM5Io4yil;Judd Topham;01 Corry Trail;37,421147;-6,710867
03194333N;WjziVdhHe5yS;Cesare Ingliby;1 Center Hill;38,178835;-7,363580
53278662L;cuF4skwwG5I;Yelena Pechet;45429 Forest Run Plaza;36,783353;2,505637
94363602E;uEu19nKUbnr5;Red Cabera;67937 Donald Point;42,841167;0,292414
69631861R;uCOgY4ACg;Wilmer Stronge;6 Rutledge Avenue;39,324922;-6,756659
52784551B;tazHF6S;Sammy Rutter;67116 Dexter Parkway;37,833439;0,980149
12720276O;TEw80IcRb2;Jammie Clooney;3 Cascade Crossing;37,315492;-1,521300
01497175C;kFgieSAcpDAc;Chickie Caffin;1022 Sunbrook Way;41,551491;-2,723634
59511235S;B9iSOc1F;Leontyne Caskey;408 Londonderry Terrace;35,946914;0,750290
23336467O;RwoZGD;Zelma Webb-Bowen;1570 Autumn Leaf Court;42,879147;-5,530551
69825800M;0OCClQQ2h;Elaine Angrock;2018 Green Ridge Hill;41,796370;-4,972728
57617612R;Mqyl2B;Flossi Yushin;769 Vernon Drive;38,493939;-6,139809
53092096G;x2ouCgZUN;Dalston Whitlam;99501 Mayer Center;39,329922;-2,106611
62076663P;QF2tpUVq;Tish Iorillo;024 Meadow Ridge Place;39,681689;-4,710946
38386159T;1hamy7xs;Aldridge Hillaby;8457 Autumn Leaf Point;35,920221;2,179329
97936185C;9Tt2wbGaAf0Y;Brendon Benardeau;26982 Green Trail;40,895655;-0,456502
03410991E;wgcgRH;Ingelbert Elles;33578 Sloan Point;36,846413;-1,778906
67401182I;W51itXg;Enoch Bernollet;39 Bayside Circle;39,108619;1,115035
79569396V;WdyyFs;Kathy Skamell;13386 Milwaukee Road;41,064120;0,866433
04202575P;BUtEKuLdpi;Bryant Willarton;511 Cody Plaza;38,228933;2,792446
53804564Q;qB2SokBd;Mattheus Breen;7 Donald Terrace;41,088310;-0,217640
39796508N;UJijtOX;Gigi Giacoboni;0819 Brown Avenue;40,501099;2,561782
92212532H;5AvJFk7ISiE3;Earl Sancias;68 Northview Way;40,138745;2,541838
19957307Y;4JFuK7;Carroll Restieaux;3 Jay Parkway;42,846825;1,589176
90546200P;hKCQA4XlWdM;Rayna Bellanger;5554 Knutson Circle;37,154565;-1,004803
46990660J;KTPHcvpRu4J;Jordon Cholmondeley;0757 Londonderry Junction;42,743339;-4,446758
26843483C;ZMAHnBUf;Doroteya Blackwell;45751 Fisk Street;42,026073;-2,798104
67912884B;ym06CgFLufp;Kacy Nickerson;297 Namekagon Way;37,701406;-8,150603
22654273S;6hJqT0OAwOg;Sidonia Swaysland;9612 Forest Dale Trail;39,839878;-2,485672
77250825D;0Z1f7Tlt;Dagny Grigorushkin;855 Veith Place;41,354848;3,185797
83367144L;xTl7RdRUCUw4;Fanchette Domino;9 Shopko Circle;38,829172;-0,212859
61591127G;D7zwXe6VF;Natalina Apfelmann;51501 Gulseth Trail;37,630288;-7,372928
29000223A;Zy6Sdnql6;Ezmeralda Sedcole;42042 Dakota Terrace;38,095100;0,185056
90773906E;vt6cz0CzvlDV;Spike Darke;3374 Forster Center;41,260517;-0,774747
36017543P;FkQproFMzq;Karla Ciccone;2984 Cody Circle;41,588855;-6,282712
